address,area,brief_info,code,level,link,name,postcode,type
北京市延庆区旧县镇古城村委会西,延庆区,,29162058,未评级,http://fw.ybj.beijing.gov.cn/ddyy/ddyy/findByName?id=29162058,北京市延庆区旧县镇古城社区卫生服务站,,社区卫生站
北京市延庆区永宁镇清泉铺村,延庆区,,29162063,未评级,http://fw.ybj.beijing.gov.cn/ddyy/ddyy/findByName?id=29162063,北京市延庆区永宁镇清泉铺社区卫生服务站,,社区卫生站
北京市延庆区康庄镇张老营村西街五巷1号,延庆区,,29162059,未评级,http://fw.ybj.beijing.gov.cn/ddyy/ddyy/findByName?id=29162059,北京市延庆区康庄镇张老营村社区卫生服务站,,社区卫生站
北京市延庆区张山营镇下营村,延庆区,,29162062,未评级,http://fw.ybj.beijing.gov.cn/ddyy/ddyy/findByName?id=29162062,北京市延庆区张山营镇下营社区卫生服务站,,社区卫生站
北京市延庆区刘斌堡乡刘斌堡村,延庆区,,29162061,未评级,http://fw.ybj.beijing.gov.cn/ddyy/ddyy/findByName?id=29162061,北京市延庆区刘斌堡乡刘斌堡村社区卫生服务站,,社区卫生站
北京市延庆区沈家营镇河东村委会院内,延庆区,,29162064,未评级,http://fw.ybj.beijing.gov.cn/ddyy/ddyy/findByName?id=29162064,北京市延庆区沈家营镇河东社区卫生服务站,,社区卫生站
北京市延庆区旧县镇闫庄村委会院内,延庆区,,29162060,未评级,http://fw.ybj.beijing.gov.cn/ddyy/ddyy/findByName?id=29162060,北京市延庆区旧县镇闫庄社区卫生服务站,,社区卫生站
北京市延庆区张山营镇小河屯村,延庆区,,29162065,未评级,http://fw.ybj.beijing.gov.cn/ddyy/ddyy/findByName?id=29162065,北京市延庆区张山营镇小河屯社区卫生服务站,,社区卫生站
北京经济技术开发区凉水河一街10号院9号楼102室,经济技术开发区,,31100008,未评级,http://fw.ybj.beijing.gov.cn/ddyy/ddyy/findByName?id=31100008,北京美瑞山养老服务有限公司医务室,,对内
北京经济技术开发区西环南路6号,经济技术开发区,,31156003,一级,http://fw.ybj.beijing.gov.cn/ddyy/ddyy/findByName?id=31156003,北京振国中西医结合肿瘤医院,,对外专科
北京市大兴区北京经济技术开发区经海路三路3号1幢,经济技术开发区,,31110006,一级,http://fw.ybj.beijing.gov.cn/ddyy/ddyy/findByName?id=31110006,北京军海医院,,对外综合
北京经济技术开发区荣华中路一号,经济技术开发区,,31159004,二级,http://fw.ybj.beijing.gov.cn/ddyy/ddyy/findByName?id=31159004,国家康复辅具研究中心附属康复医院,,对外专科
北京经济技术开发区文化园西路8号院21号楼102室,经济技术开发区,,31162001,未评级,http://fw.ybj.beijing.gov.cn/ddyy/ddyy/findByName?id=31162001,北京经济技术开发区林肯公园社区卫生服务站,,社区卫生站
北京经济技术开发区天宝园五里一区,经济技术开发区,,31162002,未评级,http://fw.ybj.beijing.gov.cn/ddyy/ddyy/findByName?id=31162002,北京经济技术开发区天宝园五里一区社区卫生服务站,,社区卫生站
北京经济技术开发区景园北街2号59号楼1层,经济技术开发区,,31162007,未评级,http://fw.ybj.beijing.gov.cn/ddyy/ddyy/findByName?id=31162007,北京经济技术开发区经开企业大道园区社区卫生服务站,,社区卫生站
北京市延庆区千家店镇沙梁子村,延庆区,,29162043,未评级,http://fw.ybj.beijing.gov.cn/ddyy/ddyy/findByName?id=29162043,北京市延庆区千家店镇沙梁子社区卫生服务站,,社区卫生站
北京市延庆区康庄镇小丰营村二区东上坡41号,延庆区,,29162044,未评级,http://fw.ybj.beijing.gov.cn/ddyy/ddyy/findByName?id=29162044,北京市延庆区康庄镇小丰营村社区卫生服务站,,社区卫生站
北京市延庆区井庄镇王木营村,延庆区,,29162046,未评级,http://fw.ybj.beijing.gov.cn/ddyy/ddyy/findByName?id=29162046,北京市延庆区井庄镇王木营社区卫生服务站,,社区卫生站
北京市延庆区康庄镇榆林堡村居委会院内,延庆区,,29162045,未评级,http://fw.ybj.beijing.gov.cn/ddyy/ddyy/findByName?id=29162045,北京市延庆区康庄镇榆林堡村社区卫生服务站,,社区卫生站
北京市延庆区井庄镇老银庄村,延庆区,,29162049,未评级,http://fw.ybj.beijing.gov.cn/ddyy/ddyy/findByName?id=29162049,北京市延庆区井庄镇老银庄社区卫生服务站,,社区卫生站
北京市延庆区井庄镇柳沟村,延庆区,,29162048,未评级,http://fw.ybj.beijing.gov.cn/ddyy/ddyy/findByName?id=29162048,北京市延庆区井庄镇柳沟社区卫生服务站,,社区卫生站
北京市延庆区张山营镇西五里营村,延庆区,,29162047,未评级,http://fw.ybj.beijing.gov.cn/ddyy/ddyy/findByName?id=29162047,北京市延庆区张山营镇西五里营社区卫生服务站,,社区卫生站
北京市延庆区八达岭镇大浮坨村委会院内,延庆区,,29162050,未评级,http://fw.ybj.beijing.gov.cn/ddyy/ddyy/findByName?id=29162050,北京市延庆区八达岭镇大浮坨社区卫生服务站,,社区卫生站
北京市延庆区珍珠泉乡珍珠泉村,延庆区,,29162051,未评级,http://fw.ybj.beijing.gov.cn/ddyy/ddyy/findByName?id=29162051,北京市延庆区珍珠泉乡珍珠泉社区卫生服务站,,社区卫生站
